,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san vicente,-26.62,-54.13,68.9,81,14,2.51,AR,1603326984
1,hobart,-42.88,147.33,63.0,67,75,10.29,AU,1603326741
2,husavik,66.04,-17.34,26.6,86,40,4.7,IS,1603326870
3,esperance,-33.87,121.9,59.0,100,75,11.41,AU,1603326853
4,east london,-33.02,27.91,63.18,81,0,12.1,ZA,1603326985
5,ushuaia,-54.8,-68.3,50.0,57,75,11.41,AR,1603326985
6,mataura,-46.19,168.86,64.0,53,86,3.0,NZ,1603326825
7,atuona,-9.8,-139.03,77.95,71,0,16.26,PF,1603326986
8,new norfolk,-42.78,147.06,63.0,47,10,3.0,AU,1603326986
9,bathsheba,13.22,-59.52,82.4,78,40,12.75,BB,1603326986
10,muzaffarabad,34.37,73.47,59.68,33,0,4.43,PK,1603326953
11,bolekhiv,49.07,23.86,47.77,64,81,8.79,UA,1603326987
12,luderitz,-26.65,15.16,58.08,88,25,22.1,NA,1603326852
13,haines junction,60.75,-137.51,24.67,78,20,2.17,CA,1603326731
14,san quintin,30.48,-115.95,67.68,78,25,9.71,MX,1603326885
15,gat,31.61,34.76,73.0,77,0,2.24,IL,1603326871
16,bethel,41.37,-73.41,64.99,93,90,3.36,US,1603326854
17,rikitea,-23.12,-134.97,74.46,71,100,4.09,PF,1603326950
18,mercedes,-34.65,-59.43,57.99,94,100,15.01,AR,1603326988
19,hami,42.8,93.45,51.67,39,0,6.82,CN,1603326868
20,gurupi,-11.73,-49.07,80.83,65,100,12.53,BR,1603326989
21,aykhal,66.0,111.5,-4.0,91,90,2.24,RU,1603326913
22,punta arenas,-53.15,-70.92,48.2,61,90,4.7,CL,1603326832
23,bengkulu,-3.8,102.27,77.61,84,100,3.62,ID,1603326833
24,sokoni,-6.43,39.55,75.2,88,5,8.28,TZ,1603326989
25,kirakira,-10.45,161.92,85.48,66,2,7.31,SB,1603326845
26,bredasdorp,-34.53,20.04,55.4,87,0,2.24,ZA,1603326838
27,cascais,38.7,-9.42,59.0,91,8,7.74,PT,1603326928
28,paragominas,-2.97,-47.48,79.7,63,0,6.08,BR,1603326990
29,kurumkan,54.3,110.3,28.2,87,29,2.06,RU,1603326990
30,leinfelden-echterdingen,48.69,9.17,57.99,76,100,2.24,DE,1603326990
31,igarka,67.47,86.58,14.43,97,84,4.21,RU,1603326991
32,minot,48.23,-101.3,28.4,73,1,4.7,US,1603326880
33,calbuco,-41.77,-73.13,46.4,75,0,5.82,CL,1603326938
34,barkly west,-28.54,24.52,73.4,43,0,10.29,ZA,1603326991
35,kapaa,22.08,-159.32,84.2,66,75,5.82,US,1603326825
36,puerto ayora,-0.74,-90.35,68.0,94,97,8.01,EC,1603326829
37,barrow,71.29,-156.79,33.8,94,90,16.11,US,1603326625
38,hilo,19.73,-155.09,84.2,54,1,9.17,US,1603326824
39,khatanga,71.97,102.5,3.38,90,52,8.48,RU,1603326861
40,isangel,-19.55,169.27,86.0,62,20,9.17,VU,1603326838
41,tiarei,-17.53,-149.33,84.2,66,75,9.17,PF,1603326900
42,arraial do cabo,-22.97,-42.03,72.97,88,19,14.54,BR,1603326851
43,tuatapere,-46.13,167.68,64.0,53,100,3.0,NZ,1603326885
44,hermanus,-34.42,19.23,51.01,96,0,8.23,ZA,1603326829
